med,kur,skew,r_max,sigma_snr,engy,rms,Leith,Rician,growth_time,SPE,growth_time_power,Power_ratio_first,Power_ratio_second,Power_ratio_third,peak_number,engy_power,med_power,rms_power,kur_power,SPE_power,skew_power,Rician_power,type
0.008577746,33.30041635,4.67133265,257.4124916,111.0135965,348186.8176,0.013205182,24.89546941,70.69736639,1057,0.000252892,0,1,0.550164298,0.409493311,3,58.56080782,334.5759763,16493.54055,70.00037484,0.017076267,7.596719621,73.00307593,0
0.008863756,31.67436454,4.554489468,248.0194562,110.2701439,326623.7803,0.013423244,23.58172832,63.00591283,1059,0.000245627,0,1,0.526213163,0.418910283,4,57.54654375,262.1166614,18582.62797,70.42461314,0.017377238,7.5768044,74.38890476,0
0.008957972,32.85400488,4.61228659,243.1148269,109.8706774,319854.594,0.013470897,24.30163675,65.26245526,1059,0.000252679,0,1,0.541538662,0.444442196,4,59.22425124,1204.01736,18721.14469,67.46903192,0.016884975,7.422998833,72.3272941,0
0.008481375,35.8052056,4.844563806,236.7721775,109.341968,345210.0212,0.013156328,26.73057919,64.03194526,1059,0.000242458,0,1,0.562660864,0.463617932,4,60.9077512,1178.124533,18655.01406,65.29154748,0.016418272,7.322012294,70.3465151,0
0.007988305,39.92089511,5.099073744,226.2373259,108.4316913,362132.1144,0.012800357,29.99245042,92.23075568,1059,0.00028603,0,1,0.598079607,0.500924267,4,64.031933,1210.516721,19422.07778,60.65294521,0.015617208,7.073290272,66.99101854,0
0.008485168,34.39767621,4.735799764,222.6008697,108.1076069,344317.8874,0.01287691,25.80805817,66.53802016,1057,0.000247607,0,1,0.610576749,0.526041794,4,65.79528232,282.2580597,21304.82005,58.35992739,0.015198658,6.936193656,65.32920333,0
0.008521063,33.42205369,4.672634428,222.3309873,108.0833441,339790.6054,0.012850037,25.11262864,63.94438819,1057,0.000244261,0,1,0.585572257,0.520399825,4,64.53069503,285.3239978,21921.47853,59.37224225,0.015496501,6.973836197,66.6151371,0
0.007580494,40.02030849,5.119026878,222.8370518,108.1288159,394895.1128,0.012225586,30.50668249,92.68436583,1057,0.000275862,0,1,0.602391295,0.533979371,4,66.42396007,285.1450517,22366.39663,57.58457759,0.015054809,6.87695389,64.7813524,0
0.007895672,36.9483068,4.911880142,221.7956957,108.0351334,376948.4357,0.012388141,28.05443908,95.88894987,1057,0.000285984,0,1,0.571803421,0.516897708,4,63.57215576,780.7937829,23573.82577,60.18593485,0.015730157,6.995292569,67.72948653,0
0.008445046,32.91800505,4.652146007,220.2137452,107.8919729,339574.8738,0.012813361,24.82725949,64.18356885,1057,0.000244809,0,1,0.562308663,0.499736921,4,61.98439952,281.7136361,22397.17023,61.87914377,0.016133092,7.087409092,69.38471195,0
0.008607051,30.12667788,4.467022967,221.0809933,107.9705824,332194.5585,0.01276848,22.90370247,59.79435087,1057,0.000238572,0,1,0.596397223,0.491279292,4,63.82126985,283.1673116,23178.75762,60.1476828,0.015668757,6.992633821,67.45800094,0
0.008713445,27.96743734,4.310731855,218.6018238,107.7450384,335601.9731,0.012777947,21.3786076,55.97428681,1057,0.000229139,0,1,0.602562656,0.488595482,4,63.74564556,660.0010879,24273.76894,59.75725674,0.015687346,6.958593259,67.59689251,0
0.007968002,35.00003194,4.757419696,215.9585833,107.5017329,374327.8491,0.012383932,26.57066333,94.62375636,1062,0.000284431,0,1,0.604413841,0.477889045,4,63.42070504,287.2884784,25020.93292,59.84718255,0.015767721,6.950116785,67.98506864,0
0.008733878,27.00663048,4.257516284,214.6639847,107.3814789,328823.3468,0.012799985,20.7023883,51.90304633,1057,0.000222622,0,1,0.621925835,0.482766863,4,64.25651173,293.4312068,25268.10942,58.47140039,0.015562625,6.876353261,67.13512932,0
0.00773738,36.8859391,4.916152111,219.6305258,107.8389341,387172.8567,0.012335498,28.08847863,87.91174128,1057,0.000270327,0,1,0.604955112,0.490471062,4,63.47760659,287.0985686,24559.34028,58.88288041,0.015753587,6.896006851,67.92824926,0
0.007246169,43.53477341,5.317166695,215.0197235,107.4145952,423725.4235,0.012043988,33.20857211,111.4108035,1057,0.000292985,0,1,0.574545999,0.518319516,4,63.42036716,292.7958102,25584.98424,58.09257359,0.015767805,6.837257352,68.01500983,0
0.007243166,43.49101681,5.319010869,212.6831819,107.196073,418859.2228,0.012082456,33.21234602,110.8007155,1062,0.000293959,0,1,0.569421552,0.530704662,4,63.58861844,292.167564,25506.26571,57.8488349,0.015726085,6.828228539,67.8113359,0
0.007711483,37.15502388,4.957178328,207.4211557,106.6950259,391864.0389,0.012333907,28.37871697,76.47038023,1067,0.000250859,0,1,0.561340769,0.554322761,4,63.49788257,294.1200229,26331.25641,57.87210453,0.015748557,6.833289774,67.93169566,0
0.007772603,38.43635157,5.006603834,197.279143,105.6923939,393574.9842,0.01239852,29.0263875,87.92785618,1067,0.000267864,0,1,0.587548753,0.584182884,4,65.45610843,299.6890924,27645.69906,56.07205818,0.015277413,6.751627495,65.95537432,0
